id_vente;nombre;poids;CA;nom;mois;nom_site
213499;50308;987;202824;Arlequin;janv-01;Bron_H
213500;49882;1012;202291;Carambar;nov-06;Bron_H
213501;49958;1072;201474;Carambar;nov-07;Bron_H
213502;49964;971;202659;Carambar;janv-06;Cassis_H
213503;49948;971;202177;Carambar;janv-07;Cassis_H
213504;50142;1037;202068;Dragibus;janv-08;Neuilly_Sup
213505;50114;1078;203403;Carambar;avr-02;Bron_H
213506;50029;970;202123;Carambar;mai-02;Bron_H
213507;50089;1041;202011;Carambar;sept-02;Bron_H
213508;49920;1036;201576;Carambar;oct-02;Bron_H
213509;50126;1014;202268;Guimauve;janv-08;Royal_bonbon
213510;49990;1038;202412;Dragibus;janv-08;Royal_bonbon
213511;49933;983;200924;Carambar;janv-11;Cassis_H
213512;49971;913;202114;Carambar;avr-03;Bron_H
213513;49929;1004;202885;Carambar;mai-03;Bron_H
213514;50122;1022;202881;Carambar;sept-03;Bron_H
213515;50098;956;203019;Carambar;oct-03;Bron_H
213516;49883;981;202126;Carambar;janv-12;Cassis_H
213517;49954;1022;201222;Carambar;janv-13;Cassis_H
213518;49990;1010;202253;Carambar;janv-14;Cassis_H
213519;50034;975;201196;Carambar;avr-04;Bron_H
213520;49991;1058;202060;Carambar;mai-04;Bron_H
213521;49889;924;202177;Carambar;sept-04;Bron_H
213522;49999;1052;200704;Carambar;oct-04;Bron_H
213523;49990;968;202051;Arlequin;janv-00;Roubaix_H
213524;50130;1022;202990;Carambar;janv-02;Roubaix_H
213525;49956;1069;201860;Carambar;avr-05;Bron_H
213526;49942;971;201201;Carambar;mai-05;Bron_H
213527;49937;919;203157;Carambar;sept-05;Bron_H
213528;49999;988;202415;Carambar;oct-05;Bron_H
213529;49975;978;201970;Arlequin;janv-08;Royal_bonbon
213530;49872;997;201880;Langue de chat;janv-08;Bron_H
213531;49900;1069;202497;Carambar;janv-03;Roubaix_H
213532;50115;1034;203332;Carambar;janv-04;Roubaix_H
213533;50037;1005;202224;Carambar;janv-05;Roubaix_H
213534;49957;949;203300;Carambar;avr-06;Bron_H
213535;50124;943;201901;Carambar;mai-06;Bron_H
213536;50093;1012;202523;Carambar;juin-03;Roubaix_H
213537;49900;987;201323;Carambar;juin-04;Roubaix_H
213538;49949;997;202060;Carambar;juin-05;Roubaix_H
213539;49950;1069;202283;Carambar;sept-06;Bron_H
213540;50052;933;202435;Carambar;oct-06;Bron_H
213541;50093;1009;202724;Carambar;janv-06;Roubaix_H
213542;49876;1046;202064;Carambar;janv-07;Roubaix_H
213543;49943;965;201775;Carambar;avr-07;Bron_H
213544;49743;1045;202012;Carambar;mai-07;Bron_H
213545;49957;1076;202028;Carambar;juin-06;Roubaix_H
213546;50098;1016;201861;Carambar;juin-07;Roubaix_H
213547;50039;1123;201527;Carambar;sept-07;Bron_H
213548;49821;1069;201592;Carambar;oct-07;Bron_H
213549;50040;946;201642;Dragibus;févr-08;Bron_H
213550;50058;1037;202611;Carambar;févr-08;Roubaix_E
213551;49955;913;201664;Fraise tagada;janv-04;Bron_H
213552;50090;989;203710;Carambar;avr-11;Bron_H
213553;50113;1022;202348;Carambar;mai-11;Bron_H
213554;50114;1067;200999;Carambar;juin-11;Bron_E
213555;50121;1008;203063;Carambar;sept-11;Bron_H
213556;49892;900;201877;Carambar;oct-11;Bron_H
213557;50180;994;202291;Fraise tagada;janv-04;Cassis_H
213558;49887;956;202692;Fraise tagada;janv-04;Roubaix_H
213559;50159;1025;202656;Fraise tagada;janv-04;La_pause_bonbon
213560;49858;1009;202735;Carambar;avr-12;Bron_H
213561;49974;1061;201689;Carambar;mai-12;Bron_H
213562;50000;889;202122;Dragibus;juin-11;Bron_E
213563;50286;1008;202008;Dragibus;févr-08;Roubaix_E
213564;50118;985;202102;Dragibus;févr-08;Roubaix_H
213565;49981;1007;202424;Carambar;sept-12;Bron_H
213566;50079;1016;202452;Carambar;oct-12;Bron_H
213567;49942;1017;202391;Carambar;janv-11;Bron_E
213568;49979;910;202328;Dragibus;janv-11;Bron_E
213569;49961;1065;201041;Carambar;avr-13;Bron_H
213570;50094;978;201340;Carambar;mai-13;Bron_H
213571;50106;1114;202186;Dragibus;févr-08;La_pause_bonbon
213572;50040;997;202646;Arlequin;févr-08;Bastille_E
213573;50132;1033;201591;Carambar;sept-13;Bron_H
213574;50153;936;203176;Carambar;oct-13;Bron_H
213575;49868;928;202541;Arlequin;févr-08;Roubaix_H
213576;49967;1008;202140;Arlequin;févr-08;La_pause_bonbon
213577;49956;992;201689;Carambar;févr-08;Neuilly_Sup
213578;50147;1031;201435;Carambar;avr-14;Bron_H
213579;50084;1005;202146;Carambar;mai-14;Bron_H
213580;50068;1067;202756;Carambar;sept-14;Bron_H
213581;50011;1040;201447;Carambar;oct-14;Bron_H
213582;49944;986;202206;Carambar;janv-13;Neuilly_Sup
213583;49961;985;201797;Arlequin;janv-01;Roubaix_H
213584;50091;1053;201065;Arlequin;janv-00;La_pause_bonbon
213585;49984;1036;202850;Arlequin;janv-01;La_pause_bonbon
213586;49982;990;201460;Carambar;janv-01;Bron_E
213587;50217;901;201843;Guimauve;janv-13;Royal_bonbon
213588;50046;949;202053;Dragibus;janv-13;Royal_bonbon
213589;50141;999;202412;Arlequin;janv-13;Royal_bonbon
213590;49922;997;202226;Guimauve;janv-02;La_pause_bonbon
213591;50132;878;202655;Guimauve;janv-03;La_pause_bonbon
213592;50133;977;203173;Guimauve;janv-04;La_pause_bonbon
213593;50132;1091;201726;Guimauve;janv-05;La_pause_bonbon
213594;50070;1020;202309;Guimauve;janv-06;La_pause_bonbon
213595;49958;963;202859;Guimauve;janv-07;La_pause_bonbon
213596;49934;1027;202431;Carambar;nov-02;Cassis_H
213597;49856;1035;203134;Carambar;nov-03;Cassis_H
213598;49941;963;201227;Guimauve;févr-08;Royal_bonbon
213599;50000;1081;202225;Guimauve;janv-11;La_pause_bonbon
213600;49964;931;201746;Carambar;sept-05;Cassis_E
213601;49982;985;202552;Carambar;oct-05;Cassis_E
213602;50092;993;201298;Carambar;nov-04;Cassis_H
213603;50010;971;202016;Carambar;nov-05;Cassis_H
213604;49999;1077;202190;Guimauve;janv-12;La_pause_bonbon
213605;50085;1025;201987;Guimauve;janv-13;La_pause_bonbon
213606;49979;1017;202090;Guimauve;janv-14;La_pause_bonbon
213607;50215;974;202217;Carambar;avr-06;Cassis_E
213608;49920;955;200877;Dragibus;févr-08;Royal_bonbon
213609;49973;922;202495;Arlequin;févr-08;Royal_bonbon
213610;50015;976;202740;Carambar;nov-06;Cassis_H
213611;49945;976;202792;Carambar;nov-07;Cassis_H
213612;49992;994;201983;Langue de chat;févr-08;Bron_H
213613;50109;981;201975;Langue de chat;févr-08;Roubaix_E
213614;49888;999;201290;Carambar;mars-08;Bron_H
213615;50096;906;202500;Carambar;mars-08;Cassis_H
213616;49889;1022;202059;Carambar;mars-08;Roubaix_H
213617;49868;980;201490;Carambar;nov-11;Cassis_H
213618;49945;1043;201948;Guimauve;mars-08;La_pause_bonbon
213619;50038;1067;202381;Carambar;nov-12;Cassis_H
213620;50037;959;201165;Carambar;nov-13;Cassis_H
213621;49843;1087;201363;Carambar;mars-08;Bron_E
213622;50140;986;202260;Dragibus;mars-08;Bron_E
213623;50073;917;203594;Dragibus;mars-08;Bron_H
213624;50104;1100;202033;Dragibus;mars-08;Cassis_E
213625;50134;964;202151;Dragibus;mars-08;Cassis_H
213626;50029;1061;202380;Carambar;mars-08;Roubaix_E
213627;50054;957;201597;Malabar;juin-00;Bron_E
213628;49940;977;202313;Dragibus;mars-08;Roubaix_E
213629;49952;1038;201654;Carambar;nov-14;Cassis_H
213630;50035;948;202311;Malabar;juin-00;Roubaix_E
213631;50156;1049;201766;Malabar;juil-00;Bastille_E
213632;50106;1136;202179;Carambar;avr-11;Cassis_E
213633;50058;986;201747;Malabar;juil-00;Bron_H
213634;50022;932;201238;Malabar;juil-00;Cassis_H
213635;49915;982;201685;Carambar;nov-02;Roubaix_H
213636;50114;1007;201668;Dragibus;mars-08;Roubaix_H
213637;49945;1032;202826;Malabar;juil-00;Roubaix_H
213638;50179;974;201771;Malabar;juil-00;La_pause_bonbon
213639;50061;950;201993;Carambar;nov-03;Roubaix_H
213640;49955;958;202127;Carambar;nov-04;Roubaix_H
213641;49964;1062;201037;Arlequin;mars-08;Bron_H
213642;49931;1124;203028;Carambar;oct-13;Cassis_E
213643;50096;991;202478;Carambar;nov-05;Roubaix_H
213644;50025;1033;202755;Carambar;nov-06;Roubaix_H
213645;49873;990;202248;Carambar;avr-14;Cassis_E
213646;49937;1040;202183;Carambar;mai-14;Cassis_E
213647;49951;1035;201879;Arlequin;mars-08;Cassis_E
213648;49815;1005;202856;Arlequin;mars-08;Roubaix_H
213649;50073;928;201859;Carambar;sept-14;Cassis_E
213650;50035;902;202235;Carambar;nov-07;Roubaix_H
213651;49946;1032;201993;Arlequin;mars-08;La_pause_bonbon
213652;49982;973;202460;Malabar;sept-00;Roubaix_H
213653;49920;956;202538;Carambar;févr-00;Bastille_E
213654;50085;1021;202860;Carambar;mars-08;Neuilly_Sup
213655;49943;1023;202960;Malabar;sept-00;La_pause_bonbon
213656;50021;1018;202939;Carambar;févr-01;Bastille_E
213657;49967;948;201970;Carambar;févr-00;Bron_H
213658;50127;1054;201923;Carambar;févr-01;Bron_H
213659;49820;895;202038;Carambar;févr-00;Cassis_H
213660;49947;1030;201125;Carambar;févr-01;Cassis_H
213661;50059;1057;202482;Guimauve;févr-00;La_pause_bonbon
213662;49925;959;202039;Carambar;avr-02;Cassis_H
213663;50042;1011;201548;Carambar;mai-02;Cassis_H
213664;49981;1039;202441;Malabar;sept-00;Roubaix_E
213665;50157;1094;202352;Carambar;sept-02;Cassis_H
213666;49870;999;202483;Carambar;oct-02;Cassis_H
213667;50073;984;202030;Dragibus;mars-08;Neuilly_Sup
213668;49916;991;202232;Carambar;avr-03;Cassis_H
213669;50094;1042;201654;Carambar;mai-03;Cassis_H
213670;49977;1103;203057;Guimauve;mars-08;Royal_bonbon
213671;50002;982;202013;Carambar;sept-03;Cassis_H
213672;50112;831;202051;Carambar;oct-03;Cassis_H
213673;50056;875;202003;Carambar;avr-04;Cassis_H
213674;50014;1012;201734;Carambar;mai-04;Cassis_H
213675;50020;1068;202873;Carambar;sept-04;Cassis_H
213676;49971;953;202093;Carambar;oct-04;Cassis_H
213677;50050;1032;202178;Carambar;avr-05;Cassis_H
213678;50005;1043;201768;Carambar;mai-05;Cassis_H
213679;50204;992;201917;Carambar;sept-05;Cassis_H
213680;50040;1053;202977;Carambar;oct-05;Cassis_H
213681;49914;963;202718;Carambar;avr-06;Cassis_H
213682;50014;1009;202070;Carambar;mai-06;Cassis_H
213683;49935;1010;202692;Carambar;sept-06;Cassis_H
213684;50173;986;201885;Carambar;oct-06;Cassis_H
213685;49922;1046;201519;Carambar;avr-07;Cassis_H
213686;49890;999;202170;Carambar;mai-07;Cassis_H
213687;50025;1045;202715;Carambar;sept-07;Cassis_H
213688;50102;1052;201437;Carambar;oct-07;Cassis_H
213689;50033;1045;203227;Langue de chat;mars-08;Neuilly_Sup
213690;50048;927;202180;Malabar;nov-00;Bron_H
213691;49964;1004;202723;Langue de chat;mars-08;Roubaix_E
213692;49978;961;201920;Carambar;avr-08;Bron_H
213693;49994;1064;201943;Carambar;avr-08;Cassis_H
213694;49969;1008;201586;Carambar;avr-08;Roubaix_H
213695;50038;1026;201369;Réglis;oct-00;Bron_H
213696;49983;1086;201260;Malabar;nov-00;Roubaix_H
213697;50021;1000;201608;Guimauve;avr-08;La_pause_bonbon
213698;50058;990;200986;Malabar;nov-00;La_pause_bonbon
213699;49964;1062;202027;Malabar;nov-00;Bron_E
213700;49992;1017;202377;Malabar;nov-00;Roubaix_E
213701;49897;1040;201989;Malabar;nov-00;Neuilly_Sup
213702;49892;1084;200852;Fraise tagada;nov-02;Bron_H
213703;49985;970;202476;Carambar;avr-11;Cassis_H
213704;50211;957;201637;Carambar;mai-11;Cassis_H
213705;49920;970;202342;Carambar;sept-11;Cassis_H
213706;50004;1001;202145;Carambar;oct-11;Cassis_H
213707;50022;1039;202454;Fraise tagada;nov-03;Bron_H
213708;49797;1079;202624;Fraise tagada;nov-04;Bron_H
213709;49969;959;202262;Carambar;avr-12;Cassis_H
213710;49946;953;202058;Carambar;mai-12;Cassis_H
213711;49937;945;202244;Dragibus;juin-12;Royal_bonbon
213712;50021;1072;202113;Carambar;sept-12;Cassis_H
213713;50013;971;201707;Carambar;oct-12;Cassis_H
213714;50017;1038;202401;Fraise tagada;nov-05;Bron_H
213715;50146;958;202271;Fraise tagada;nov-06;Bron_H
213716;50164;1034;203010;Carambar;janv-12;Neuilly_Sup
213717;49988;1076;202140;Malabar;janv-01;Bron_E
213718;49998;1017;201855;Dragibus;janv-12;Neuilly_Sup
213719;49859;1063;201383;Carambar;avr-13;Cassis_H
213720;50039;951;202364;Carambar;mai-13;Cassis_H
213721;49977;1001;201096;Arlequin;juin-12;Royal_bonbon
213722;50163;951;201943;Krema;juin-12;Royal_bonbon
213723;49890;982;202724;Dragibus;avr-08;Bastille_E
213724;50141;992;203314;Carambar;sept-13;Cassis_H
213725;49942;969;201583;Carambar;oct-13;Cassis_H
213726;49794;1017;201198;Fraise tagada;nov-07;Bron_H
213727;50040;946;201787;Carambar;avr-08;Bron_E
213728;50147;1022;202083;Guimauve;janv-12;Royal_bonbon
213729;50000;1019;202035;Dragibus;janv-12;Royal_bonbon
213730;49912;950;201214;Arlequin;janv-12;Royal_bonbon
213731;49811;916;202985;Carambar;avr-14;Cassis_H
213732;50038;948;201852;Carambar;mai-14;Cassis_H
213733;50004;1020;202911;Dragibus;avr-08;Bron_E
213734;49938;983;202502;Carambar;sept-14;Cassis_H
213735;49911;998;203149;Carambar;oct-14;Cassis_H
213736;50241;1048;202282;Dragibus;avr-08;Bron_H
213737;49853;1136;202109;Malabar;févr-01;Bron_E
213738;49884;985;201926;Malabar;févr-01;Roubaix_E
213739;50091;983;202436;Fraise tagada;nov-11;Bron_H
213740;50066;972;203661;Fraise tagada;nov-13;Bron_H
213741;49929;958;202619;Malabar;mars-01;Bron_E
213742;50054;973;203166;Malabar;mars-01;Roubaix_E
213743;50044;1099;202294;Malabar;avr-01;La_pause_bonbon
213744;49824;1036;202330;Malabar;avr-01;Bron_E
213745;50092;1019;203063;Malabar;avr-01;Roubaix_E
213746;49996;1021;201894;Dragibus;févr-00;La_pause_bonbon
213747;49994;992;202740;Dragibus;févr-01;La_pause_bonbon
213748;49871;949;201877;Fraise tagada;nov-14;Bron_H
213749;49911;947;201175;Arlequin;févr-00;Roubaix_H
213750;49946;1027;202801;Carambar;avr-02;Roubaix_H
213751;49980;933;201585;Carambar;mai-02;Roubaix_H
213752;49887;1022;202346;Carambar;sept-02;Roubaix_H
213753;49983;1080;201082;Carambar;oct-02;Roubaix_H
213754;49891;1032;202341;Arlequin;févr-01;Roubaix_H
213755;50095;957;202929;Carambar;avr-03;Roubaix_H
213756;49966;909;202946;Carambar;mai-03;Roubaix_H
213757;49741;937;202574;Carambar;sept-03;Roubaix_H
213758;49957;894;201775;Carambar;oct-03;Roubaix_H
213759;49985;1008;202635;Carambar;avr-04;Roubaix_H
213760;50087;998;202441;Carambar;mai-04;Roubaix_H
213761;49884;1034;202148;Carambar;sept-04;Roubaix_H
213762;49975;966;202368;Carambar;oct-04;Roubaix_H
213763;50218;1120;202623;Arlequin;févr-00;La_pause_bonbon
213764;49830;998;202840;Carambar;avr-05;Roubaix_H
213765;50016;972;201559;Carambar;mai-05;Roubaix_H
213766;50194;931;203051;Carambar;sept-05;Roubaix_H
213767;50241;1006;201528;Carambar;oct-05;Roubaix_H
213768;49930;993;202290;Malabar;mai-01;Bron_H
213769;50099;1045;201803;Carambar;avr-06;Roubaix_H
213770;49886;957;202386;Carambar;mai-06;Roubaix_H
213771;50103;993;201572;Carambar;sept-06;Roubaix_H
213772;50045;975;201981;Carambar;oct-06;Roubaix_H
213773;50008;941;201933;Carambar;avr-07;Roubaix_H
213774;50167;1005;202232;Carambar;mai-07;Roubaix_H
213775;50013;937;201809;Carambar;sept-07;Roubaix_H
213776;49960;920;202165;Carambar;oct-07;Roubaix_H
213777;49922;888;202855;Arlequin;avr-08;Roubaix_H
213778;49992;1000;201940;Arlequin;avr-08;La_pause_bonbon
213779;50109;1054;202157;Arlequin;févr-01;La_pause_bonbon
213780;49868;971;201306;Guimauve;avr-08;Royal_bonbon
213781;50012;995;202715;Fraise tagada;nov-02;Cassis_H
213782;50104;967;202888;Dragibus;janv-02;Bastille_E
213783;50043;929;201490;Dragibus;avr-08;Royal_bonbon
213784;50074;1075;202650;Arlequin;avr-08;Royal_bonbon
213785;49725;1056;202552;Dragibus;juin-02;Bastille_E
213786;49981;1065;202548;Dragibus;juin-03;Bastille_E
213787;49996;1030;202101;Langue de chat;avr-08;Bron_H
213788;50027;990;202568;Fraise tagada;nov-03;Cassis_H
213789;50121;1156;201191;Dragibus;janv-03;Bastille_E
213790;49998;962;201769;Dragibus;janv-04;Bastille_E
213791;50071;1004;202658;Dragibus;janv-05;Bastille_E
213792;49966;956;202292;Carambar;avr-11;Roubaix_H
213793;50066;996;202110;Carambar;mai-11;Roubaix_H
213794;49923;1058;201391;Carambar;sept-11;Roubaix_H
213795;50094;882;201884;Carambar;oct-11;Roubaix_H
213796;50058;881;200230;Langue de chat;avr-08;Cassis_H
213797;50034;1018;202319;Carambar;avr-12;Roubaix_H
213798;49908;977;201631;Carambar;mai-12;Roubaix_H
213799;50046;983;202185;Langue de chat;avr-08;La_pause_bonbon
213800;50040;1018;201595;Carambar;sept-12;Roubaix_H
213801;49830;1033;202345;Carambar;oct-12;Roubaix_H
213802;50033;958;202596;Langue de chat;avr-08;Roubaix_E
213803;49979;981;202234;Langue de chat;avr-08;Royal_bonbon
213804;50010;1021;202814;Carambar;avr-13;Roubaix_H
213805;49866;954;202396;Carambar;mai-13;Roubaix_H
213806;50091;975;201624;Carambar;sept-13;Roubaix_H
213807;49999;986;201757;Carambar;oct-13;Roubaix_H
213808;50132;1029;202987;Carambar;avr-14;Roubaix_H
213809;49885;959;202237;Carambar;mai-14;Roubaix_H
213810;50004;1001;202548;Carambar;sept-14;Roubaix_H
213811;50000;1067;202436;Carambar;oct-14;Roubaix_H
213812;49990;997;202358;Carambar;févr-01;Roubaix_E
213813;50101;1037;202305;Dragibus;févr-01;Roubaix_E
213814;49812;1039;204027;Carambar;mai-08;Bron_H
213815;49954;965;202470;Fraise tagada;oct-04;Bastille_E
213816;49856;948;201932;Fraise tagada;nov-04;Cassis_H
213817;50074;907;201868;Fraise tagada;sept-05;Bastille_E
213818;50016;1043;201867;Fraise tagada;oct-05;Bastille_E
213819;50145;1016;202999;Fraise tagada;nov-05;Cassis_H
213820;49932;1086;201994;Fraise tagada;nov-06;Cassis_H
213821;50196;997;201665;Fraise tagada;sept-06;Bastille_E
213822;50087;986;202673;Fraise tagada;oct-06;Bastille_E
213823;50060;1022;201257;Fraise tagada;nov-07;Cassis_H
213824;50055;1020;203073;Dragibus;juin-07;Bron_E
213825;49895;972;202278;Fraise tagada;sept-07;Bastille_E
213826;49942;991;203693;Fraise tagada;oct-07;Bastille_E
213827;50103;1016;201297;Carambar;mai-08;Cassis_H
213828;50008;1037;201989;Carambar;mai-08;Roubaix_H
213829;49862;1078;202735;Guimauve;mai-08;La_pause_bonbon
213830;49919;1025;202996;Fraise tagada;nov-11;Cassis_H
213831;49981;986;201384;Carambar;mai-08;Bron_E
213832;49972;929;202144;Malabar;juil-01;Cassis_H
213833;50104;1011;201473;Fraise tagada;nov-13;Cassis_H
213834;49929;1051;201696;Fraise tagada;nov-14;Cassis_H
213835;50112;971;201284;Dragibus;mai-08;Bron_E
213836;50053;958;202399;Krema;mai-08;Bron_E
213837;49866;1039;201768;Carambar;févr-00;Roubaix_E
213838;49924;992;201959;Malabar;juil-01;Roubaix_H
213839;50149;1010;202592;Fraise tagada;sept-11;Bastille_E
213840;50089;946;202668;Fraise tagada;oct-11;Bastille_E
213841;50015;1004;203031;Dragibus;févr-00;Roubaix_E
213842;50112;951;202532;Dragibus;juin-02;Bron_H
213843;49925;990;202855;Fraise tagada;nov-02;Roubaix_H
213844;49963;993;202855;Fraise tagada;nov-03;Roubaix_H
213845;50029;1020;201771;Fraise tagada;nov-04;Roubaix_H
213846;49806;953;203321;Fraise tagada;nov-05;Roubaix_H
213847;49997;1037;201904;Fraise tagada;nov-06;Roubaix_H
213848;50067;1034;202979;Malabar;juil-01;La_pause_bonbon
213849;50027;977;201958;Réglis;oct-00;Cassis_H
213850;49998;974;202761;Dragibus;juin-03;Bron_H
213851;50036;1094;201667;Dragibus;juin-04;Bron_H
213852;50034;1027;202049;Dragibus;juin-05;Bron_H
213853;50133;1040;202123;Dragibus;juin-06;Bron_H
213854;50053;1128;201453;Dragibus;juin-07;Bron_H
213855;49982;994;202193;Malabar;juil-01;Roubaix_E
213856;50035;900;203097;Dragibus;juin-11;Bron_H
213857;49956;999;202215;Dragibus;juin-12;Bron_H
213858;49951;993;201828;Dragibus;juin-13;Bron_H
213859;50193;1089;202112;Dragibus;juin-14;Bron_H
213860;49943;936;202085;Malabar;août-01;Roubaix_E
213861;50024;991;201733;Dragibus;mai-12;Bron_E
213862;49983;975;202359;Carambar;avr-12;Bron_E
213863;50069;1006;203826;Malabar;sept-01;Cassis_H
213864;50084;978;202103;Dragibus;avr-12;Bron_E
213865;50066;983;201766;Carambar;mai-08;Roubaix_E
213866;49958;975;201579;Carambar;janv-07;Bron_E
213867;49925;968;202981;Malabar;sept-01;Roubaix_H
213868;50143;1020;201570;Dragibus;janv-07;Bron_E
213869;50126;1107;201974;Dragibus;janv-02;Bron_H
213870;49931;910;201391;Dragibus;janv-03;Bron_H
213871;49903;952;202969;Fraise tagada;nov-07;Roubaix_H
213872;49945;921;201922;Fraise tagada;nov-11;Roubaix_H
213873;49692;970;201680;Fraise tagada;nov-13;Roubaix_H
213874;50049;1045;201442;Fraise tagada;nov-14;Roubaix_H
213875;50093;1036;203099;Malabar;sept-01;La_pause_bonbon
213876;49854;915;202473;Réglis;oct-00;Roubaix_H
213877;49950;951;202863;Dragibus;févr-00;Neuilly_Sup
213878;49797;985;201802;Carambar;mars-00;Bron_H
213879;49908;992;201154;Fraise tagada;nov-02;La_pause_bonbon
213880;49950;957;200900;Carambar;mars-01;Bron_H
213881;50037;990;202678;Fraise tagada;nov-03;La_pause_bonbon
213882;49921;964;201860;Fraise tagada;oct-02;Bron_H
213883;50007;1008;201826;Fraise tagada;sept-03;Bron_H
213884;50099;1032;202461;Fraise tagada;oct-03;Bron_H
213885;50052;923;202696;Dragibus;mai-08;Cassis_H
213886;49901;1091;202124;Dragibus;janv-04;Bron_H
213887;50054;1031;202349;Fraise tagada;oct-04;Bron_H
213888;49777;964;201486;Carambar;nov-12;Neuilly_Sup
213889;49903;1015;202304;Fraise tagada;sept-05;Bron_H
213890;50084;957;202177;Fraise tagada;oct-05;Bron_H
213891;49990;997;202231;Dragibus;nov-12;Neuilly_Sup
213892;50040;1103;201864;Réglis;oct-00;La_pause_bonbon
213893;49998;1071;202060;Fraise tagada;sept-06;Bron_H
213894;49998;986;203103;Fraise tagada;oct-06;Bron_H
213895;49758;1015;202315;Guimauve;nov-12;Royal_bonbon
213896;50012;983;203126;Fraise tagada;sept-07;Bron_H
213897;49892;1030;202311;Fraise tagada;oct-07;Bron_H
213898;49919;969;202200;Dragibus;nov-12;Royal_bonbon
213899;50011;981;202142;Arlequin;nov-12;Royal_bonbon
213900;49923;876;203074;Dragibus;mai-08;Roubaix_H
213901;50066;951;201036;Dragibus;mai-08;La_pause_bonbon
213902;50252;1053;201892;Arlequin;mai-08;Bron_H
213903;50089;945;202842;Carambar;mars-00;Cassis_H
